date,description,amount,category
2026-04-10,clothes shopping,1181,shopping
2026-05-14,electricity bill,2918,bills
2026-05-31,amazon purchase,1747,shopping
2026-02-08,auto ride,460,travel
2026-01-28,clothes shopping,2243,shopping
2026-03-30,monthly recharge,2393,bills
2026-05-02,restaurant dinner,639,food
2026-04-13,canteen lunch,2878,food
2026-03-02,canteen lunch,1575,food
2026-01-06,spotify subscription,1323,entertainment
2026-03-13,electricity bill,983,bills
2026-02-04,gaming,1364,entertainment
2026-03-10,internship stipend,9158,income
2026-04-24,metro card recharge,2034,travel
2026-05-13,concert ticket,701,entertainment
2026-01-17,gaming,605,entertainment
2026-05-15,misc payment,872,shopping
2026-01-15,random expense,1526,travel
2026-02-20,gaming,2118,entertainment
2026-04-12,internship stipend,10927,income
2026-04-06,wifi bill,1993,bills
2026-05-31,flipkart order,1109,shopping
2026-01-24,random expense,717,entertainment
2026-05-27,trip expense,972,travel
2026-02-22,concert ticket,132,entertainment
2026-01-03,wifi bill,2512,bills
2026-01-03,bus ticket,2969,travel
2026-03-12,mobile recharge,1930,bills
2026-03-06,trip expense,2182,travel
2026-04-12,general spending,2349,shopping
2026-03-14,gaming,311,entertainment
2026-03-28,spotify subscription,1119,entertainment
2026-03-18,misc payment,282,travel
2026-04-14,freelance payment,3834,income
2026-05-08,gaming,1707,entertainment
2026-04-10,misc payment,14244,income
2026-02-26,bonus,14747,income
2026-05-10,weekend outing,2336,entertainment
2026-02-16,misc payment,1109,entertainment
2026-05-24,bus ticket,2730,travel
2026-01-23,trip expense,1307,travel
2026-04-18,concert ticket,1254,entertainment
2026-04-29,dinner with friends,2648,food
2026-05-30,amazon purchase,1984,shopping
2026-02-19,other purchase,2220,shopping
2026-03-18,misc payment,612,bills
2026-02-21,concert ticket,1924,entertainment
2026-02-06,netflix subscription,381,entertainment
2026-05-05,netflix subscription,1333,entertainment
2026-01-15,swiggy order,740,food
2026-05-28,uber ride,580,travel
2026-04-22,bonus,18643,income
2026-04-09,misc payment,1578,food
2026-01-04,concert ticket,830,entertainment
2026-01-05,misc payment,10414,income
2026-03-30,other purchase,2111,entertainment
2026-05-31,movie tickets,1271,entertainment
2026-03-16,mobile recharge,1826,bills
2026-02-04,gaming,1521,entertainment
2026-02-18,metro card recharge,128,travel
2026-02-28,ola cab,915,travel
2026-01-06,amazon purchase,1551,shopping
2026-01-10,mobile recharge,2240,bills
2026-01-13,amazon purchase,2727,shopping
2026-01-06,restaurant dinner,1869,food
2026-04-08,restaurant dinner,2924,food
2026-02-09,trip expense,88,travel
2026-03-19,mobile recharge,2600,bills
2026-02-05,electricity bill,2145,bills
2026-01-31,random expense,2088,entertainment
2026-02-20,clothes shopping,2192,shopping
2026-02-21,spotify subscription,706,entertainment
2026-01-11,flipkart order,2868,shopping
2026-05-04,movie tickets,2801,entertainment
2026-01-23,snacks,2073,food
2026-02-08,zomato order,464,food
2026-03-07,pocket money,11654,income
2026-04-29,misc payment,211,food
2026-03-16,spotify subscription,1794,entertainment
2026-01-30,zomato order,89,food
2026-02-05,pocket money,14715,income
2026-04-23,amazon purchase,1576,shopping
2026-03-29,other purchase,1919,travel
2026-03-11,monthly recharge,1777,bills
2026-02-12,random expense,702,food
2026-01-27,monthly recharge,2380,bills
2026-04-23,bus ticket,2554,travel
2026-01-08,freelance payment,18829,income
2026-05-05,restaurant dinner,238,food
2026-01-17,movie tickets,2935,entertainment
2026-05-15,freelance payment,14085,income
2026-05-13,online order,440,shopping
2026-04-21,bonus,14329,income
2026-04-09,auto ride,2560,travel
2026-01-14,swiggy order,2120,food
2026-05-01,electricity bill,2063,bills
2026-03-24,bus ticket,256,travel
2026-05-10,metro card recharge,1701,travel
2026-03-02,dinner with friends,2397,food
2026-04-25,restaurant dinner,1344,food
2026-01-31,electricity bill,470,bills
2026-04-14,random expense,422,bills
2026-03-19,stationery,1446,shopping
2026-04-04,dinner with friends,1911,food
2026-03-26,online order,1987,shopping
2026-04-04,internship stipend,10266,income
2026-01-01,weekend outing,1245,entertainment
2026-05-21,amazon purchase,237,shopping
2026-02-12,other purchase,488,bills
2026-03-07,amazon purchase,1659,shopping
2026-02-25,wifi bill,2985,bills
2026-03-28,zomato order,2643,food
2026-05-31,restaurant dinner,1923,food
2026-05-31,other purchase,67,shopping
2026-05-16,other purchase,18824,income
2026-05-11,ola cab,575,travel
2026-01-27,mobile recharge,2114,bills
2026-04-09,wifi bill,1170,bills
2026-04-12,gaming,596,entertainment
2026-02-05,mobile recharge,2923,bills
2026-05-21,concert ticket,2641,entertainment
2026-02-25,trip expense,1240,travel
2026-03-30,misc payment,19511,income
2026-05-19,internship stipend,14542,income
2026-05-24,monthly recharge,2811,bills
2026-05-17,gaming,102,entertainment
2026-05-14,misc payment,267,food
2026-01-15,ola cab,1223,travel
2026-03-06,trip expense,1258,travel
2026-02-22,other purchase,469,shopping
2026-05-24,auto ride,1642,travel
2026-03-02,clothes shopping,2888,shopping
2026-01-13,mobile recharge,2311,bills
2026-01-14,swiggy order,2591,food
2026-04-24,trip expense,2956,travel
2026-04-05,online order,854,shopping
2026-02-19,weekend outing,355,entertainment
2026-02-17,uber ride,1595,travel
2026-01-11,mobile recharge,582,bills
2026-02-11,amazon purchase,1403,shopping
2026-04-30,internship stipend,8036,income
2026-03-24,general spending,2059,shopping
2026-05-27,clothes shopping,2202,shopping
2026-02-26,auto ride,702,travel
2026-04-17,amazon purchase,1481,shopping
2026-02-26,bus ticket,1527,travel
2026-03-17,auto ride,2222,travel
2026-05-02,amazon purchase,519,shopping
2026-03-30,wifi bill,213,bills
2026-03-24,electricity bill,1630,bills
2026-03-07,amazon purchase,2167,shopping
2026-04-06,stationery,2043,shopping
2026-01-12,netflix subscription,1362,entertainment
2026-05-12,swiggy order,2253,food
2026-05-17,swiggy order,2795,food
2026-02-24,internship stipend,9736,income
2026-05-18,bonus,5363,income
2026-02-09,canteen lunch,205,food
2026-01-23,general spending,2335,food
2026-01-19,clothes shopping,1719,shopping
2026-04-10,monthly recharge,1345,bills
2026-01-05,electricity bill,2677,bills
2026-01-17,internship stipend,14721,income
2026-05-09,snacks,1284,food
2026-01-23,gaming,1612,entertainment
2026-04-12,misc payment,10204,income
2026-02-04,pocket money,7721,income
2026-03-18,pocket money,3365,income
2026-05-22,random expense,70,shopping
2026-05-27,online order,398,shopping
2026-03-20,trip expense,1458,travel
2026-02-24,wifi bill,709,bills
2026-02-17,bus ticket,845,travel
2026-01-30,auto ride,272,travel
2026-05-21,electricity bill,1240,bills
2026-01-18,other purchase,1405,entertainment
2026-04-02,ola cab,459,travel
2026-03-14,misc payment,1351,shopping
2026-05-05,mobile recharge,2890,bills
2026-05-30,bus ticket,1345,travel
2026-04-20,misc payment,957,travel
2026-04-22,netflix subscription,2833,entertainment
2026-03-26,mobile recharge,1301,bills
2026-05-05,random expense,1199,shopping
2026-02-05,amazon purchase,358,shopping
2026-01-05,online order,2421,shopping
2026-04-14,amazon purchase,2309,shopping
2026-03-08,online order,1983,shopping
2026-02-08,concert ticket,1241,entertainment
2026-02-04,electricity bill,1675,bills
2026-04-04,misc payment,2565,shopping
2026-02-12,misc payment,783,shopping
2026-05-25,flipkart order,2030,shopping
2026-04-02,restaurant dinner,999,food
2026-01-17,movie tickets,2788,entertainment
2026-02-22,clothes shopping,1639,shopping
2026-05-01,electricity bill,2706,bills
2026-03-24,coffee cafe,2645,food
2026-03-12,freelance payment,15342,income
2026-04-07,movie tickets,2166,entertainment
2026-03-06,wifi bill,2165,bills
2026-04-14,spotify subscription,2044,entertainment
2026-05-04,misc payment,1851,shopping
2026-02-12,general spending,916,travel
2026-02-08,auto ride,2988,travel
2026-01-31,pocket money,6713,income
2026-05-04,freelance payment,8283,income
2026-04-16,swiggy order,2399,food
2026-02-11,uber ride,2394,travel
2026-02-07,swiggy order,2166,food
2026-04-14,amazon purchase,2997,shopping
2026-03-14,coffee cafe,1980,food
2026-05-04,metro card recharge,2511,travel
2026-02-06,flipkart order,2602,shopping
2026-05-11,weekend outing,1453,entertainment
2026-04-27,flipkart order,1599,shopping
2026-04-09,misc payment,2191,travel
2026-05-10,freelance payment,6155,income
2026-02-15,electricity bill,2226,bills
2026-05-09,misc payment,2521,food
2026-05-19,dinner with friends,2829,food
2026-04-21,amazon purchase,2907,shopping
2026-05-16,monthly recharge,1611,bills
2026-03-31,online order,450,shopping
2026-04-19,ola cab,393,travel
2026-03-14,stationery,1105,shopping
2026-02-18,dinner with friends,79,food
2026-05-28,random expense,1586,shopping
2026-02-22,bonus,14870,income
2026-01-28,auto ride,1088,travel
2026-03-08,clothes shopping,2556,shopping
2026-03-12,freelance payment,16540,income
2026-05-22,clothes shopping,2340,shopping
2026-05-23,mobile recharge,2416,bills
2026-03-30,freelance payment,6902,income
2026-02-28,wifi bill,460,bills
2026-02-24,clothes shopping,2305,shopping
2026-01-14,trip expense,71,travel
2026-01-24,auto ride,1833,travel
2026-01-23,canteen lunch,377,food
2026-01-10,bonus,12387,income
2026-01-15,metro card recharge,93,travel
2026-02-21,pocket money,9381,income
2026-01-09,flipkart order,2569,shopping
2026-02-13,misc payment,3009,income
2026-02-10,dinner with friends,1686,food
2026-04-01,freelance payment,19965,income
2026-01-04,internship stipend,12322,income
2026-05-24,clothes shopping,976,shopping
2026-02-19,electricity bill,1119,bills
2026-02-14,electricity bill,2110,bills
2026-03-17,concert ticket,1105,entertainment
2026-05-18,stationery,1594,shopping
2026-05-25,mobile recharge,1929,bills
2026-04-28,stationery,526,shopping
2026-03-08,dinner with friends,952,food
2026-02-28,spotify subscription,2165,entertainment
2026-05-18,canteen lunch,1066,food
2026-03-15,snacks,1450,food
2026-01-20,stationery,1335,shopping
2026-04-01,bus ticket,798,travel
2026-02-18,wifi bill,1041,bills
2026-03-09,ola cab,2583,travel
2026-04-02,uber ride,371,travel
2026-05-07,random expense,2025,shopping
2026-04-06,online order,1175,shopping
2026-05-06,auto ride,1197,travel
2026-04-12,ola cab,271,travel
2026-05-15,electricity bill,2108,bills
2026-03-30,wifi bill,1922,bills
2026-01-31,pocket money,3275,income
2026-01-04,internship stipend,13663,income
2026-04-03,flipkart order,2296,shopping
2026-03-09,auto ride,1455,travel
2026-04-04,ola cab,1766,travel
2026-04-06,spotify subscription,1896,entertainment
2026-02-16,misc payment,459,shopping
2026-03-11,metro card recharge,853,travel
2026-02-07,random expense,8787,income
2026-04-18,general spending,2043,bills
2026-03-18,concert ticket,245,entertainment
2026-04-12,zomato order,932,food
2026-03-07,electricity bill,1892,bills
2026-03-27,concert ticket,2333,entertainment
2026-03-07,random expense,1488,entertainment
2026-02-20,online order,764,shopping
2026-03-14,concert ticket,2046,entertainment
2026-04-25,canteen lunch,1949,food
2026-02-07,bus ticket,1777,travel
2026-05-27,electricity bill,374,bills
2026-02-11,spotify subscription,2724,entertainment
2026-03-16,bonus,11888,income
2026-04-24,concert ticket,1894,entertainment
2026-04-16,uber ride,562,travel
2026-03-02,internship stipend,9900,income
2026-02-12,random expense,1988,bills
2026-05-21,other purchase,2196,food
2026-01-22,swiggy order,395,food
2026-04-10,weekend outing,1213,entertainment
2026-04-24,misc payment,3936,income
2026-01-09,pocket money,18602,income
2026-04-30,online order,1872,shopping
2026-02-04,bonus,17253,income
2026-05-15,pocket money,14376,income
2026-05-04,amazon purchase,1859,shopping
2026-03-20,netflix subscription,1293,entertainment
2026-01-03,dinner with friends,608,food
2026-03-30,movie tickets,2867,entertainment
2026-05-06,monthly recharge,1249,bills
2026-03-01,swiggy order,1736,food
2026-05-24,wifi bill,2978,bills
2026-04-10,electricity bill,1779,bills
2026-03-03,online order,2892,shopping
2026-03-11,concert ticket,1151,entertainment
2026-04-16,ola cab,609,travel
2026-03-16,coffee cafe,1904,food
2026-03-11,freelance payment,13506,income
2026-01-05,random expense,811,travel
2026-01-27,weekend outing,1845,entertainment
2026-01-03,random expense,2071,travel
2026-02-25,gaming,1571,entertainment
2026-04-29,pocket money,5628,income
2026-02-07,restaurant dinner,342,food
2026-05-20,mobile recharge,1612,bills
2026-01-04,snacks,1069,food
2026-04-09,electricity bill,865,bills
2026-04-28,freelance payment,18493,income
2026-04-10,pocket money,8197,income
2026-01-11,internship stipend,11300,income
2026-05-04,pocket money,4706,income
2026-02-25,restaurant dinner,1379,food
2026-01-04,auto ride,540,travel
2026-04-12,random expense,2430,travel
2026-05-02,pocket money,5932,income
2026-03-05,trip expense,2583,travel
2026-03-28,general spending,8043,income
2026-05-18,misc payment,1347,food
2026-05-23,bonus,9323,income
2026-01-06,freelance payment,11214,income
2026-01-11,mobile recharge,2273,bills
2026-05-06,auto ride,1474,travel
2026-03-24,freelance payment,5256,income
2026-05-16,bus ticket,2268,travel
2026-04-04,other purchase,809,bills
2026-01-05,online order,1028,shopping
2026-03-24,other purchase,9221,income
2026-05-15,freelance payment,12277,income
2026-03-24,electricity bill,444,bills
2026-05-14,misc payment,8853,income
2026-01-09,misc payment,454,travel
2026-01-09,stationery,2744,shopping
2026-05-06,online order,1098,shopping
2026-01-13,weekend outing,340,entertainment
2026-01-04,uber ride,1967,travel
2026-01-16,gaming,1561,entertainment
2026-01-15,amazon purchase,338,shopping
2026-03-19,coffee cafe,447,food
2026-01-26,bonus,9208,income
2026-02-19,online order,2611,shopping
2026-02-15,stationery,482,shopping
2026-05-28,weekend outing,2774,entertainment
2026-04-20,swiggy order,2302,food
2026-04-13,flipkart order,2236,shopping
2026-04-24,concert ticket,1379,entertainment
2026-04-06,monthly recharge,1374,bills
2026-03-03,stationery,2303,shopping
2026-03-07,gaming,1676,entertainment
2026-01-01,general spending,3534,income
2026-05-13,bus ticket,76,travel
2026-03-18,bus ticket,138,travel
2026-03-12,online order,2391,shopping
2026-02-09,general spending,689,food
2026-02-05,concert ticket,1073,entertainment
2026-03-01,movie tickets,2386,entertainment
2026-04-13,amazon purchase,1379,shopping
2026-05-04,trip expense,2928,travel
2026-05-28,canteen lunch,203,food
2026-05-28,random expense,1419,bills
2026-03-31,electricity bill,978,bills
2026-01-03,bonus,4773,income
2026-03-20,misc payment,1388,shopping
2026-05-09,internship stipend,15873,income
2026-04-25,amazon purchase,959,shopping
2026-04-21,netflix subscription,591,entertainment
2026-03-28,snacks,251,food
2026-05-21,monthly recharge,2105,bills
2026-04-22,misc payment,18758,income
2026-05-24,trip expense,2390,travel
2026-02-20,online order,1058,shopping
2026-03-04,restaurant dinner,1374,food
2026-05-28,other purchase,1784,food
2026-04-04,spotify subscription,2482,entertainment
2026-01-07,spotify subscription,2574,entertainment
2026-04-24,random expense,1006,shopping
2026-02-21,internship stipend,6682,income
2026-01-14,ola cab,1228,travel
2026-01-04,movie tickets,1299,entertainment
2026-04-26,misc payment,2253,bills
2026-02-24,bus ticket,2297,travel
2026-05-04,flipkart order,2897,shopping
2026-01-05,electricity bill,1096,bills
2026-02-13,dinner with friends,2902,food
2026-03-11,zomato order,322,food
2026-04-10,pocket money,6535,income
2026-01-05,weekend outing,1633,entertainment
2026-03-01,electricity bill,1342,bills
2026-05-05,flipkart order,864,shopping
2026-05-09,electricity bill,212,bills
2026-03-05,stationery,1661,shopping
2026-02-10,canteen lunch,1505,food
2026-03-19,auto ride,1179,travel
2026-01-16,bonus,3965,income
2026-05-23,spotify subscription,1659,entertainment
2026-02-05,coffee cafe,2827,food
2026-02-28,wifi bill,1796,bills
2026-03-21,online order,589,shopping
2026-02-22,misc payment,7525,income
2026-03-21,freelance payment,17092,income
2026-02-07,freelance payment,13403,income
2026-01-18,amazon purchase,804,shopping
2026-03-23,bus ticket,1745,travel
2026-04-16,weekend outing,1171,entertainment
2026-02-08,misc payment,157,travel
2026-03-10,flipkart order,2492,shopping
2026-03-01,bus ticket,375,travel
2026-05-03,auto ride,1970,travel
2026-04-06,metro card recharge,1990,travel
2026-02-05,uber ride,1723,travel
2026-01-04,netflix subscription,2799,entertainment
2026-02-21,other purchase,2577,travel
2026-05-06,bonus,11086,income
2026-04-20,monthly recharge,2999,bills
2026-03-22,electricity bill,2182,bills
2026-01-28,electricity bill,1056,bills
2026-05-13,amazon purchase,2334,shopping
2026-04-10,amazon purchase,827,shopping
2026-03-16,mobile recharge,1221,bills
2026-04-29,auto ride,273,travel
2026-05-13,trip expense,1900,travel
2026-01-24,freelance payment,7433,income
2026-04-11,electricity bill,782,bills
2026-04-27,flipkart order,1912,shopping
2026-01-24,weekend outing,2964,entertainment
2026-02-11,internship stipend,6740,income
